Vuosi,Kk,Pv,Klo,Aikavyöhyke,Hiilimonoksidi (ug/m3),Typpidioksidi (ug/m3),Otsoni (ug/m3),Hengitettävät hiukkaset (ug/m3),Pienhiukkaset (ug/m3),Rikkidioksidi (ug/m3),Haisevat rikkiyhdisteet (ugS/m3)
2014,12,7,00:00,UTC,,16,,,4.4,,
2014,12,7,01:00,UTC,,30,,,3.7,,
2014,12,7,02:00,UTC,,30,,,3.5,,
2014,12,7,03:00,UTC,,34,,,3.7,,
2014,12,7,04:00,UTC,,8,,,3.4,,
2014,12,7,05:00,UTC,,15,,,3.6,,
2014,12,7,06:00,UTC,,24,,,3.6,,
2014,12,7,07:00,UTC,,18,,,2.9,,
2014,12,7,08:00,UTC,,20,,,3.3,,
2014,12,7,09:00,UTC,,20,,,3.1,,
2014,12,7,10:00,UTC,,23,,,3.8,,
2014,12,7,11:00,UTC,,18,,,3.6,,
2014,12,7,12:00,UTC,,18,,,3.5,,
2014,12,7,13:00,UTC,,23,,,3.4,,
2014,12,7,14:00,UTC,,24,,,3.6,,
2014,12,7,15:00,UTC,,29,,,3.4,,
2014,12,7,16:00,UTC,,26,,,3.6,,
2014,12,7,17:00,UTC,,25,,,4.3,,
2014,12,7,18:00,UTC,,23,,,4.4,,
2014,12,7,19:00,UTC,,20,,,4.7,,
2014,12,7,20:00,UTC,,19,,,5.1,,
2014,12,7,21:00,UTC,,19,,,4.1,,
2014,12,7,22:00,UTC,,18,,,3,,
2014,12,7,23:00,UTC,,17,,,2.8,,
2014,12,8,00:00,UTC,,13,,,2.1,,
2014,12,8,01:00,UTC,,13,,,2.5,,
2014,12,8,02:00,UTC,,15,,,1.8,,
2014,12,8,03:00,UTC,,13,,,2.7,,
2014,12,8,04:00,UTC,,27,,,2.4,,
2014,12,8,05:00,UTC,,30,,,4.1,,
2014,12,8,06:00,UTC,,50,,,5.7,,
2014,12,8,07:00,UTC,,41,,,6.1,,
2014,12,8,08:00,UTC,,32,,,5.1,,
2014,12,8,09:00,UTC,,37,,,5.2,,
2014,12,8,10:00,UTC,,42,,,6,,
2014,12,8,11:00,UTC,,51,,,5.6,,
2014,12,8,12:00,UTC,,52,,,7.5,,
2014,12,8,13:00,UTC,,29,,,4.2,,
2014,12,8,14:00,UTC,,51,,,8.4,,
2014,12,8,15:00,UTC,,61,,,7.8,,
2014,12,8,16:00,UTC,,47,,,7.4,,
2014,12,8,17:00,UTC,,46,,,5.3,,
2014,12,8,18:00,UTC,,49,,,9.6,,
2014,12,8,19:00,UTC,,36,,,8.4,,
2014,12,8,20:00,UTC,,10,,,3.9,,
2014,12,8,21:00,UTC,,11,,,4.3,,
2014,12,8,22:00,UTC,,6,,,5.6,,
2014,12,8,23:00,UTC,,9,,,4.6,,
2014,12,9,00:00,UTC,,5,,,4.6,,
2014,12,9,01:00,UTC,,9,,,4.6,,
2014,12,9,02:00,UTC,,4,,,4.6,,
2014,12,9,03:00,UTC,,24,,,4,,
2014,12,9,04:00,UTC,,15,,,3.6,,
2014,12,9,05:00,UTC,,10,,,4.6,,
2014,12,9,06:00,UTC,,16,,,5.4,,
2014,12,9,07:00,UTC,,23,,,6.1,,
2014,12,9,08:00,UTC,,20,,,6.3,,
2014,12,9,09:00,UTC,,17,,,5.8,,
2014,12,9,10:00,UTC,,15,,,5.4,,
2014,12,9,11:00,UTC,,17,,,5.7,,
2014,12,9,12:00,UTC,,18,,,6.3,,
2014,12,9,13:00,UTC,,18,,,7.3,,
2014,12,9,14:00,UTC,,20,,,7.1,,
2014,12,9,15:00,UTC,,22,,,6.5,,
2014,12,9,16:00,UTC,,17,,,7.1,,
2014,12,9,17:00,UTC,,11,,,5.9,,
2014,12,9,18:00,UTC,,15,,,6.5,,
2014,12,9,19:00,UTC,,13,,,5.9,,
2014,12,9,20:00,UTC,,11,,,4.2,,
2014,12,9,21:00,UTC,,6,,,4.3,,
2014,12,9,22:00,UTC,,5,,,3.7,,
2014,12,9,23:00,UTC,,6,,,4,,
2014,12,10,00:00,UTC,,10,,,4,,
2014,12,10,01:00,UTC,,17,,,4.3,,
2014,12,10,02:00,UTC,,24,,,3.5,,
2014,12,10,03:00,UTC,,28,,,4,,
2014,12,10,04:00,UTC,,24,,,3.5,,
2014,12,10,05:00,UTC,,36,,,6,,
2014,12,10,06:00,UTC,,32,,,12.1,,
2014,12,10,07:00,UTC,,42,,,8,,
2014,12,10,08:00,UTC,,33,,,6.8,,
2014,12,10,09:00,UTC,,30,,,5.7,,
2014,12,10,10:00,UTC,,28,,,3.9,,
2014,12,10,11:00,UTC,,31,,,4.3,,
2014,12,10,12:00,UTC,,22,,,4.4,,
2014,12,10,13:00,UTC,,25,,,5.9,,
2014,12,10,14:00,UTC,,24,,,7.2,,
2014,12,10,15:00,UTC,,21,,,6,,
2014,12,10,16:00,UTC,,17,,,7.7,,
2014,12,10,17:00,UTC,,18,,,8.8,,
2014,12,10,18:00,UTC,,16,,,9.3,,
2014,12,10,19:00,UTC,,16,,,7.7,,
2014,12,10,20:00,UTC,,12,,,8.3,,
2014,12,10,21:00,UTC,,10,,,9.8,,
2014,12,10,22:00,UTC,,9,,,5.6,,
2014,12,10,23:00,UTC,,11,,,3.7,,
2014,12,11,00:00,UTC,,15,,,5.2,,
2014,12,11,01:00,UTC,,22,,,5.5,,
2014,12,11,02:00,UTC,,20,,,3.8,,
2014,12,11,03:00,UTC,,28,,,3.8,,
2014,12,11,04:00,UTC,,33,,,4.2,,
2014,12,11,05:00,UTC,,37,,,6.2,,
2014,12,11,06:00,UTC,,47,,,10.2,,
2014,12,11,07:00,UTC,,33,,,5.8,,
2014,12,11,08:00,UTC,,35,,,6.4,,
2014,12,11,09:00,UTC,,35,,,6.6,,
2014,12,11,10:00,UTC,,40,,,5.5,,
2014,12,11,11:00,UTC,,26,,,6.4,,
2014,12,11,12:00,UTC,,29,,,6.6,,
2014,12,11,13:00,UTC,,36,,,4.8,,
2014,12,11,14:00,UTC,,44,,,7.6,,
2014,12,11,15:00,UTC,,36,,,8.3,,
2014,12,11,16:00,UTC,,32,,,5.9,,
2014,12,11,17:00,UTC,,24,,,7,,
2014,12,11,18:00,UTC,,19,,,7.8,,
2014,12,11,19:00,UTC,,21,,,6.7,,
2014,12,11,20:00,UTC,,14,,,5.9,,
2014,12,11,21:00,UTC,,10,,,8.2,,
2014,12,11,22:00,UTC,,9,,,4.6,,
2014,12,11,23:00,UTC,,10,,,7.4,,
2014,12,12,00:00,UTC,,9,,,6.4,,
2014,12,12,01:00,UTC,,9,,,13.6,,
2014,12,12,02:00,UTC,,9,,,10.2,,
2014,12,12,03:00,UTC,,8,,,9.6,,
2014,12,12,04:00,UTC,,20,,,22,,
